date,Target_height_variation
22/11/1992,476.63
22/12/1992,475.94
1/1/1993,476.1
11/1/1993,475.69
21/01/1993,476.29
10/2/1993,476.65
20/02/1993,476.75
1/3/1993,477.56
11/1/1993,477.137
21/03/1993,477.15
10/4/1993,478.2
30/04/1993,478.74
10/5/1993,479.34
20/05/1993,479.54
30/05/1993,480.07
28/06/1993,480.99
28/07/1993,480.72
7/8/1993,480.65
6/9/1993,480.41
16/09/1993,480.09
26/09/1993,479.61
6/10/1993,480.02
4/11/1993,479.65
14/11/1993,479.48
24/11/1993,479.23
4/12/1993,479.54
14/12/1993,478.88
24/12/1993,479.07
13/01/1994,479.37
23/01/1994,478.91
23/03/1994,479.7
2/4/1994,480.25
22/04/1994,480.53
2/5/1994,480.64
12/5/1994,480.96
22/05/1994,481.23
1/6/1994,481.08
10/7/1994,480.4
30/07/1994,480.3
19/08/1994,480.35
29/08/1994,480.06
8/9/1994,479.97
18/09/1994,480.11
17/10/1994,479.21
16/11/1994,479.43
16/12/1994,478.68
26/12/1994,478.67
5/1/1995,478.12
15/01/1995,478.57
25/01/1995,478.35
3/2/1995,478.96
25/03/1995,478.61
4/4/1995,478.23
24/04/1995,478.8
14/05/1995,478.87
24/05/1995,478.87
2/6/1995,478.7
12/6/1995,478.35
22/07/1995,478.14
21/08/1995,477.95
31/08/1995,478.2
10/9/1995,477.56
29/09/1995,477.57
9/10/1995,476.99
29/10/1995,476.96
8/11/1995,476.47
8/12/1995,476.31
18/12/1995,476.3
28/12/1995,476.13
7/1/1996,476.41
26/01/1996,476.63
5/2/1996,477.11
15/02/1996,477.12
25/02/1996,477.58
6/3/1996,477.48
15/04/1996,477.62
25/04/1996,477.64
3/6/1996,477.79
3/7/1996,477.78
13/07/1996,477.96
23/07/1996,477.36
2/8/1996,477.46
12/8/1996,477.18
1/9/1996,477.6
11/9/1996,477.11
20/09/1996,476.62
10/10/1996,476.4
20/10/1996,476.79
30/10/1996,476.21
9/11/1996,476.28
19/11/1996,476.02
9/12/1996,476.03
19/12/1996,476.15
29/12/1996,475.89
8/1/1997,475.86
17/01/1997,475.96
27/01/1997,476.15
16/02/1997,478.36
18/03/1997,478.64
28/03/1997,479.25
7/4/1997,479.48
17/04/1997,479.49
15/06/1997,481.05
25/06/1997,480.73
5/7/1997,480.07
15/07/1997,480.64
25/07/1997,480.74
24/08/1997,479.77
22/09/1997,480.2
2/10/1997,480.13
12/10/1997,480.1
22/10/1997,479.57
11/11/1997,479.48
21/11/1997,479.56
11/12/1997,479.54
30/12/1997,479.37
9/1/1998,478.99
29/01/1998,480.03
8/2/1998,480.01
18/02/1998,480.19
10/3/1998,480.58
20/03/1998,480.06
9/4/1998,481.39
19/04/1998,481.87
8/5/1998,482.3
28/05/1998,482.83
7/6/1998,483.36
17/06/1998,483.66
27/06/1998,483.57
7/7/1998,483.65
6/8/1998,483.33
4/9/1998,483.41
14/09/1998,483.16
24/09/1998,483.2
4/10/1998,483.05
24/10/1998,483.14
3/11/1998,482.55
13/11/1998,482.53
3/12/1998,481.56
13/12/1998,482.58
22/12/1998,481.93
21/01/1999,483.45
31/01/1999,483.61
20/02/1999,484.08
2/3/1999,484.47
12/3/1999,483.53
22/03/1999,484.2
1/4/1999,484.72
10/5/1999,485.12
19/06/1999,486.56
29/06/1999,487.04
9/7/1999,486.7
29/07/1999,486.07
6/9/1999,486.67
16/09/1999,486.68
26/09/1999,486.17
6/10/1999,486.28
26/10/1999,486
5/11/1999,485.81
15/11/1999,485.57
5/12/1999,485.76
14/12/1999,485.41
24/12/1999,485.6
3/1/2000,485.01
13/01/2000,485.92
12/2/2000,485.49
22/02/2000,486.29
13/03/2000,485.61
11/4/2000,485.77
11/5/2000,486.73
21/05/2000,487.35
31/05/2000,487.12
10/6/2000,486.55
20/06/2000,487.43
30/06/2000,486.66
29/07/2000,486.3
27/09/2000,485.99
17/10/2000,485.85
16/11/2000,485.08
25/11/2000,484.45
5/12/2000,484.68
25/12/2000,483.88
4/1/2001,484.94
24/01/2001,484.46
3/2/2001,484.19
5/3/2001,484.16
15/03/2001,484.88
24/03/2001,485.58
13/04/2001,484.86
3/5/2001,485.72
13/05/2001,486.21
23/05/2001,486.08
2/6/2001,486.4
12/6/2001,485.69
2/7/2001,485.46
21/07/2001,486.54
31/07/2001,485.84
10/8/2001,485.74
20/08/2001,485.63
30/08/2001,486.34
29/09/2001,485.88
9/10/2001,485.41
29/10/2001,485.39
17/11/2001,484.53
7/12/2001,484.35
26/01/2002,483.92
5/2/2002,483.49
15/02/2002,483.67
16/03/2002,483.77
15/04/2002,483.72
25/04/2002,484.38
5/5/2002,484.3
15/05/2002,483.99
4/6/2002,484.67
3/7/2002,485.01
23/07/2002,484.63
2/8/2002,484.77
26/01/2002,483.88
5/2/2002,483.73
15/02/2002,483.64
6/3/2002,483.61
16/03/2002,483.73
26/03/2002,483.69
15/04/2002,483.97
25/04/2002,484.07
5/5/2002,484.16
15/05/2002,484.25
25/05/2002,484.39
4/6/2002,484.5
14/06/2002,484.6
23/06/2002,484.64
22/08/2002,484.29
1/9/2002,483.66
11/9/2002,484.09
21/09/2002,483.87
1/10/2002,483.66
11/10/2002,483.5
30/10/2002,483.25
19/11/2002,482.96
29/11/2002,482.61
29/12/2002,482.3
8/1/2003,482.22
18/01/2003,482.09
28/01/2003,482.18
7/2/2003,482.02
16/02/2003,482
26/02/2003,482.16
8/3/2003,482.44
7/5/2003,483.57
17/05/2003,483.87
6/6/2003,484.24
25/06/2003,484.64
4/8/2003,483.87
14/08/2003,484.35
24/08/2003,484.14
3/9/2003,483.93
13/09/2003,483.51
23/09/2003,483.68
3/10/2003,483.44
12/10/2003,483.22
22/10/2003,483.08
1/12/2003,482.37
11/12/2003,481.85
21/12/2003,481.95
31/12/2003,481.82
10/1/2004,481.87
20/01/2004,481.81
30/01/2004,481.73
8/2/2004,481.91
9/3/2004,482.5
29/03/2004,482.98
18/04/2004,483.96
8/5/2004,484.66
27/05/2004,485.01
6/6/2004,485.47
16/06/2004,485.76
26/06/2004,485.84
6/7/2004,485.76
5/8/2004,485.51
15/08/2004,484.9
25/08/2004,485.1
4/9/2004,484.96
14/09/2004,484.81
3/10/2004,484.39
13/10/2004,484.22
23/10/2004,484
12/12/2004,483.46
22/12/2004,483.27
11/1/2005,482.84
20/01/2005,482.84
11/3/2005,482.58
21/03/2005,482.31
31/03/2005,482.42
10/4/2005,482.36
20/04/2005,482.3
30/04/2005,482.27
29/05/2005,482.22
18/06/2005,482.06
8/7/2005,481.81
18/07/2005,481.69
28/07/2005,481.36
7/8/2005,481.2
17/08/2005,481.01
27/08/2005,480.76
6/9/2005,480.51
15/09/2005,480.36
15/10/2005,479.76
4/11/2005,479.24
14/11/2005,478.71
24/11/2005,478.85
4/12/2005,478.7
24/12/2005,478.57
3/1/2006,478.65
12/1/2006,478.7
22/01/2006,479.07
1/2/2006,479.35
11/2/2006,479.55
21/02/2006,479.82
3/3/2006,480.04
13/03/2006,480.33
23/03/2006,480.21
2/4/2006,480.4
12/4/2006,480.44
2/5/2006,480.66
11/5/2006,480.9
21/05/2006,480.94
31/05/2006,481.04
10/6/2006,480.47
20/06/2006,481.25
30/06/2006,480.73
20/07/2006,480.87
30/07/2006,480.74
9/8/2006,480.66
19/08/2006,480.47
28/08/2006,480.16
7/9/2006,479.92
17/09/2006,479.87
27/09/2006,479.48
17/10/2006,479.05
26/11/2006,478.16
6/12/2006,477.91
16/12/2006,477.73
25/12/2006,477.61
4/1/2007,477.59
14/01/2007,477.47
24/01/2007,477.31
3/2/2007,477.75
23/02/2007,477.91
5/3/2007,477.9
15/03/2007,478.89
25/03/2007,479.47
4/4/2007,479.97
14/04/2007,480.39
23/04/2007,480.7
3/5/2007,480.98
23/05/2007,481.39
2/6/2007,481.64
12/6/2007,481.53
22/06/2007,481.29
2/7/2007,481.13
12/7/2007,481.47
1/8/2007,481.16
11/8/2007,481.04
19/09/2007,480.23
9/10/2007,479.83
19/10/2007,479.3
29/10/2007,479.71
8/11/2007,479.4
18/11/2007,479.02
28/11/2007,478.83
8/12/2007,478.7
17/12/2007,478.76
27/12/2007,478.86
6/1/2008,480.22
16/01/2008,480.67
26/01/2008,481.16
5/2/2008,482.13
15/02/2008,482.24
25/02/2008,482.32
6/3/2008,482.64
16/03/2008,483.01
5/4/2008,483.57
14/04/2008,483.7
24/04/2008,483.9
4/5/2008,484.19
24/05/2008,484.08
23/06/2008,484.74
3/7/2008,484.72
13/07/2008,484.58
1/8/2008,484.06
30/09/2008,483.23
20/10/2008,482.57
30/10/2008,482.28
9/11/2008,482
19/11/2008,481.78
8/12/2008,481.44
28/12/2008,481.59
17/01/2009,481.48
13/07/2008,484.68
23/07/2008,484.44
1/8/2008,484.13
11/8/2008,484.1
21/08/2008,483.61
31/08/2008,483.8
10/9/2008,483.86
30/09/2008,482.56
10/10/2008,482.55
20/10/2008,482.61
30/10/2008,482.39
9/11/2008,482.13
19/11/2008,481.89
28/11/2008,480.77
8/12/2008,481.38
18/12/2008,481.4
28/12/2008,481.64
7/1/2009,481.68
17/01/2009,481.61
27/01/2009,481.72
6/2/2009,481.75
16/02/2009,481.89
26/02/2009,481.92
8/3/2009,482
18/03/2009,481.9
27/03/2009,483.02
6/4/2009,483.92
16/04/2009,484.46
26/04/2009,484.99
6/5/2009,485.47
26/05/2009,486.25
5/6/2009,486.43
15/06/2009,486.53
25/06/2009,486.6
5/7/2009,486.3
15/07/2009,486.21
24/07/2009,486.2
3/8/2009,485.62
13/08/2009,485.96
23/08/2009,485.1
2/9/2009,485.77
12/9/2009,485.54
22/09/2009,485.29
2/10/2009,485.18
12/10/2009,485.01
22/10/2009,484.8
1/11/2009,484.59
11/11/2009,484.32
20/11/2009,484.3
30/11/2009,483.95
20/12/2009,484.12
30/12/2009,484.01
9/1/2010,483.97
29/01/2010,483.83
8/2/2010,484.01
18/02/2010,483.8
28/02/2010,484.33
10/3/2010,484.98
19/03/2010,485.6
29/03/2010,485.83
8/4/2010,485.74
18/04/2010,486.44
8/5/2010,486.36
18/05/2010,487.12
28/05/2010,487.22
7/6/2010,487.16
17/06/2010,486.64
27/06/2010,486.68
7/7/2010,486.06
16/07/2010,486.27
26/07/2010,486.19
15/08/2010,486.15
25/08/2010,485.9
4/9/2010,485.15
14/09/2010,485.49
24/09/2010,485.6
4/10/2010,485.5
14/10/2010,485.31
24/10/2010,484.03
2/11/2010,484.8
12/11/2010,484.7
22/11/2010,484.35
2/12/2010,484.24
12/12/2010,484.49
22/12/2010,484.38
1/1/2011,483.76
11/1/2011,484.3
21/01/2011,484.56
31/01/2011,484.7
10/2/2011,484.17
20/02/2011,483.86
1/3/2011,484.31
11/3/2011,484.25
21/03/2011,484.67
31/03/2011,484.93
10/4/2011,485.59
20/04/2011,485.69
30/04/2011,486.46
10/5/2011,486.29
20/05/2011,487.34
30/05/2011,487.31
9/6/2011,487.22
19/06/2011,486.55
28/06/2011,486.59
8/7/2011,486.56
18/07/2011,486.38
28/07/2011,486.58
7/8/2011,486.57
17/08/2011,486.44
27/08/2011,486.37
6/9/2011,486.22
16/09/2011,486.1
26/09/2011,485.9
6/10/2011,485.75
16/10/2011,485.4
14/11/2011,484.54
24/11/2011,484.85
4/12/2011,484.61
14/12/2011,484.49
24/12/2011,484.2
3/1/2012,484.41
13/01/2012,484.01
23/01/2012,484.25
2/2/2012,484.2
12/2/2012,484.2
21/02/2012,484.25
2/3/2012,484.13
12/3/2012,484.4
22/03/2012,484.58
1/4/2012,484.9
11/4/2012,485.08
21/04/2012,485.28
1/5/2012,485.52
11/5/2012,485.81
21/05/2012,486.01
31/05/2012,485.58
10/6/2012,486.44
19/06/2012,485.85
29/06/2012,486.25
9/7/2012,486.14
19/07/2012,486.05
8/8/2012,485.99
18/08/2012,485.65
28/08/2012,485.66
7/9/2012,485.51
17/09/2012,485.3
27/09/2012,485.05
7/10/2012,484.83
16/10/2012,484.52
5/11/2012,484.4
15/11/2012,484.26
25/11/2012,483.92
5/12/2012,483.71
15/12/2012,483.57
25/12/2012,483.46
4/1/2013,483.44
14/01/2013,483.72
24/01/2013,484.03
2/2/2013,483.89
12/2/2013,484.41
22/02/2013,484.73
4/3/2013,484.88
14/03/2013,485.43
24/03/2013,485.51
13/04/2013,485.93
23/04/2013,486.13
3/5/2013,486.35
13/05/2013,486.48
23/05/2013,486.11
1/6/2013,486.32
11/6/2013,486.55
21/06/2013,486.6
1/7/2013,486.39
11/7/2013,486.27
21/07/2013,485.78
31/07/2013,485.89
10/8/2013,485.57
20/08/2013,485.61
30/08/2013,485.39
19/09/2013,484.83
28/09/2013,484.81
8/10/2013,484.5
18/10/2013,484.22
28/10/2013,484.15
7/11/2013,483.8
17/11/2013,483.64
27/11/2013,483.41
7/12/2013,483.25
17/12/2013,483.03
27/12/2013,482.49
6/1/2014,483.49
16/01/2014,483.23
25/01/2014,483.22
4/2/2014,483.24
14/02/2014,483.93
24/02/2014,483.96
6/3/2014,483.98
16/03/2014,484.01
26/03/2014,484.2
5/4/2014,484.34
15/04/2014,484.54
25/04/2014,484.48
5/5/2014,484.97
15/05/2014,484.77
24/05/2014,485.46
3/6/2014,485.65
13/06/2014,485.81
23/06/2014,485.95
3/7/2014,485.99
13/07/2014,485.89
23/07/2014,485.68
2/8/2014,485.71
12/8/2014,485.49
22/08/2014,485.28
1/9/2014,484.94
11/9/2014,484.44
20/09/2014,484.59
30/09/2014,483.83
10/10/2014,483.33
30/10/2014,483.35
9/11/2014,483.04
19/11/2014,482.54
29/11/2014,482.52
9/12/2014,482.48
19/12/2014,482.44
29/12/2014,482.29
8/1/2015,482.72
17/01/2015,482.49
27/01/2015,482.32
6/2/2015,482.49
16/02/2015,482.32
26/02/2015,482.23
8/3/2015,482.2
18/03/2015,482.08
28/03/2015,481.98
7/4/2015,481.82
17/04/2015,481.92
27/04/2015,481.84
6/5/2015,481.52
16/05/2015,481.48
26/05/2015,481.48
5/6/2015,481.56
15/06/2015,480.52
25/06/2015,481.3
15/07/2015,480.74
25/07/2015,480.67
4/8/2015,480.47
14/08/2015,480.11
24/08/2015,479.87
2/9/2015,479.63
12/9/2015,479.44
22/09/2015,479.14
2/10/2015,478.58
12/10/2015,478.44
22/10/2015,478.7
1/11/2015,478.39
11/11/2015,478.21
21/11/2015,478.04
1/12/2015,477.75
11/12/2015,477.65
21/12/2015,477.38
30/12/2015,477.28
9/1/2016,476.99
19/01/2016,477.04
29/01/2016,476.8
8/2/2016,476.92
18/02/2016,476.91
28/02/2016,477.15
9/3/2016,477.27
19/03/2016,477.57
29/03/2016,477.91
8/4/2016,478.24
18/04/2016,478.34
27/04/2016,478.89
7/5/2016,479.12
17/05/2016,479.41
6/6/2016,479.91
16/06/2016,480.08
26/06/2016,479.87
6/7/2016,480.03
16/07/2016,479.88
26/07/2016,479.81
5/8/2016,479.48
15/08/2016,479.36
24/08/2016,479.32
3/9/2016,479.17
13/09/2016,478.98
23/09/2016,479.02
18/02/2016,476.9
28/02/2016,477.02
9/3/2016,477.31
19/03/2016,477.52
29/03/2016,477.91
18/04/2016,478.46
27/04/2016,478.86
7/5/2016,479.18
6/6/2016,479.91
16/06/2016,480.06
26/06/2016,479.79
6/7/2016,480.04
16/07/2016,479.97
26/07/2016,479.82
5/8/2016,479.43
15/08/2016,479.42
24/08/2016,479.38
3/9/2016,479.18
13/09/2016,478.86
13/10/2016,478.88
23/10/2016,478.36
2/11/2016,478.29
12/11/2016,478.04
22/11/2016,477.87
2/12/2016,477.64
12/12/2016,477.5
21/12/2016,477.49
31/12/2016,477.37
10/1/2017,476.91
20/01/2017,478.04
30/01/2017,478.58
9/2/2017,478.96
19/02/2017,479.34
1/3/2017,479.8
11/3/2017,480.4
21/03/2017,480.44
31/03/2017,480.56
10/4/2017,481.04
19/04/2017,481.54
29/04/2017,481.92
9/5/2017,482.24
19/05/2017,482.58
29/05/2017,482.73
8/6/2017,482.93
18/06/2017,482.74
28/06/2017,482.98
8/7/2017,482.97
18/07/2017,482.49
28/07/2017,482.5
6/8/2017,482.42
16/08/2017,482.15
26/08/2017,482.31
5/9/2017,482.03
15/09/2017,482.15
5/10/2017,481.68
15/10/2017,481.48
25/10/2017,481.26
4/11/2017,481.2
14/11/2017,481.02
24/11/2017,480.69
3/12/2017,480.62
13/12/2017,480.57
23/12/2017,480.25
2/1/2018,480.42
12/1/2018,480.17
22/01/2018,480.13
1/2/2018,480.24
11/2/2018,480.61
21/02/2018,481.1
3/3/2018,481.9
13/03/2018,482.5
23/03/2018,482.77
1/4/2018,482.96
11/4/2018,483.71
21/04/2018,484
1/5/2018,484.55
11/5/2018,485.16
21/05/2018,485.61
31/05/2018,485.98
10/6/2018,486.38
20/06/2018,486.55
30/06/2018,486.66
10/7/2018,486.59
29/07/2018,486.14
8/8/2018,486.54
18/08/2018,486.31
28/08/2018,486.07
7/9/2018,485.91
17/09/2018,485.52
27/09/2018,485.32
7/10/2018,484.94
17/10/2018,484.66
27/10/2018,484.29
6/11/2018,483.88
16/11/2018,483.53
25/11/2018,483.25
5/12/2018,482.97
15/12/2018,482.67
25/12/2018,482.35
4/1/2019,481.98
14/01/2019,481.85
24/01/2019,481.78
3/2/2019,481.37
13/02/2019,481.31
23/02/2019,481.18
15/03/2019,480.7
24/03/2019,480.6
3/4/2019,480.35
13/04/2019,480.23
23/04/2019,480.12
3/5/2019,480.03
13/05/2019,479.94
23/05/2019,479.69
2/6/2019,479.65
12/6/2019,479.55
22/06/2019,479.36
2/7/2019,479.02
12/7/2019,478.94
21/07/2019,478.82
31/07/2019,478.21
10/8/2019,478.45
20/08/2019,478.24
30/08/2019,478.26
9/9/2019,478.12
19/09/2019,477.98
29/09/2019,477.8
9/10/2019,477.72
19/10/2019,477.53
29/10/2019,477.27
7/11/2019,477.05
17/11/2019,477.05
27/11/2019,476.93
7/12/2019,476.43
17/12/2019,476.7
27/12/2019,476.55
6/1/2020,476.29
26/01/2020,476.52
15/02/2020,476.72
25/02/2020,476.81
5/3/2020,476.97
15/03/2020,476.84
25/03/2020,477.21
4/4/2020,477.78
14/04/2020,478.27
24/04/2020,478.52
4/5/2020,479.49
14/05/2020,480.01
24/05/2020,480.42
3/6/2020,480.77
13/06/2020,480.9
23/06/2020,480.38
2/7/2020,481.03
12/7/2020,480.9
22/07/2020,480.85
1/8/2020,480.83
11/8/2020,480.73
21/08/2020,480.39
31/08/2020,480.33
10/9/2020,480.03
20/09/2020,479.83
30/09/2020,479.61
10/10/2020,479.36
20/10/2020,479.05
29/10/2020,478.93
8/11/2020,478.6
18/11/2020,478.47
28/11/2020,478.09
8/12/2020,477.84
18/12/2020,478.13
28/12/2020,478.19
7/1/2021,478.21
17/01/2021,478.45
27/01/2021,479.01
6/2/2021,479.32
16/02/2021,479.55
25/02/2021,479.91
7/3/2021,480.87
17/03/2021,481.2
27/03/2021,481.45
6/4/2021,481.61
16/04/2021,481.92
26/04/2021,482.01
6/5/2021,482.25
16/05/2021,482.39
26/05/2021,482.53
5/6/2021,482.59
15/06/2021,482.44
24/06/2021,482.27
4/7/2021,482.42
14/07/2021,482.43
24/07/2021,482.12
3/8/2021,481.42
13/08/2021,481.76
23/08/2021,481.49
2/9/2021,481.22
12/9/2021,481.1
22/09/2021,480.9
2/10/2021,480.64
12/10/2021,480.44
21/10/2021,480.09
31/10/2021,479.73
10/11/2021,479.47
20/11/2021,478.79
30/11/2021,478.76
10/12/2021,478.58
20/12/2021,478.28
30/12/2021,478.16
9/1/2022,478.12
19/01/2022,477.69
29/01/2022,478.49
7/2/2022,478.41
17/02/2022,478.57
27/02/2022,478.43
9/3/2022,478.17
19/03/2022,478.41
29/03/2022,478.58
18/12/2020,478.17
28/12/2020,478.12
7/1/2021,478.09
17/01/2021,478.47
27/01/2021,479.02
6/2/2021,479.37
16/02/2021,479.57
26/02/2021,479.87
7/3/2021,480.89
17/03/2021,481.23
27/03/2021,481.48
6/4/2021,481.65
16/04/2021,481.96
26/04/2021,482.04
6/5/2021,482.26
16/05/2021,482.4
26/05/2021,482.54
5/6/2021,482.62
15/06/2021,482.46
25/06/2021,482.16
4/7/2021,482.44
14/07/2021,482.4
24/07/2021,482.17
3/8/2021,481.57
13/08/2021,481.77
23/08/2021,481.52
2/9/2021,481.28
12/9/2021,481.1
22/09/2021,480.93
2/10/2021,480.67
12/10/2021,480.47
21/10/2021,480.14
31/10/2021,479.7
10/11/2021,479.52
20/11/2021,478.69
30/11/2021,478.72
10/12/2021,478.46
20/12/2021,478.28
30/12/2021,478.2
9/1/2022,478.14
19/01/2022,477.5
29/01/2022,478.53
8/2/2022,478.16
17/02/2022,478.63
27/02/2022,478.36
9/3/2022,478.14
19/03/2022,478.4
29/03/2022,478.64
8/4/2022,478.81
18/04/2022,479
28/04/2022,479.27
8/5/2022,479.45
18/05/2022,479.72
7/6/2022,479.96
16/06/2022,479.17
26/06/2022,479.94
6/7/2022,479.61
16/07/2022,479.69
26/07/2022,479.47
5/8/2022,479.42
15/08/2022,479.22
25/08/2022,478.89
4/9/2022,478.59
14/09/2022,478.33
24/09/2022,477.92
4/10/2022,477.7
13/10/2022,477.37
23/10/2022,476.84
2/11/2022,476.6
12/11/2022,476.29
22/11/2022,475.98
2/12/2022,475.74
12/12/2022,475.64
22/12/2022,475.49
1/1/2023,475.48
11/1/2023,475.6
21/01/2023,475.68
31/01/2023,476.33
19/02/2023,476.94
1/3/2023,477.08
11/3/2023,477.7
21/03/2023,477.14
31/03/2023,478.34
10/4/2023,478.48
20/04/2023,478.74
30/04/2023,478.82
10/5/2023,478.9
20/05/2023,478.79
30/05/2023,479.26
8/6/2023,479.43
18/06/2023,479.71
28/06/2023,479.69
8/7/2023,479.9
18/07/2023,478.89
28/07/2023,479.3
7/8/2023,479.38
17/08/2023,479.33
27/08/2023,478.96
6/9/2023,478.49
16/09/2023,478.94
26/09/2023,478.47
5/10/2023,477.99
15/10/2023,478.16
25/10/2023,478.1
4/11/2023,477.77
14/11/2023,477.65
24/11/2023,477.36
4/12/2023,477.08
14/12/2023,477.02
24/12/2023,476.99
3/1/2024,477.13
13/01/2024,477.37
22/01/2024,477.41
1/2/2024,477.62
11/2/2024,477.51
21/02/2024,477.5
2/3/2024,477.49
12/3/2024,477.46
22/03/2024,477.09
1/4/2024,477.28
11/4/2024,477.38
21/04/2024,477.36
1/5/2024,477.04
11/5/2024,477.18
20/05/2024,477.16
30/05/2024,477.07
9/6/2024,477.06
19/06/2024,477.02
